ID,Name,Age,Gender,Sales,Profit,Date,Category,Discount
1,David,25.0,Female,100.0,30.0,2023-01-01,Grocery,20.0
2,Eve,25.0,Female,200.0,10.0,2023-01-01,Clothing,20.0
3,Charlie,35.0,Other,200.0,30.0,2023-01-01,Electronics,10.0
4,Eve,35.0,Male,200.0,10.0,,Clothing,5.0
5,Eve,25.0,Male,100.0,10.0,,Electronics,10.0
6,Bob,25.0,Male,300.0,30.0,,Furniture,0.0
7,Charlie,25.0,Male,100.0,10.0,,Grocery,5.0
8,Charlie,30.0,Other,300.0,20.0,,Electronics,20.0
10,Eve,35.0,Male,200.0,20.0,,Furniture,0.0
11,David,30.0,Male,100.0,40.0,,Electronics,10.0
13,Eve,25.0,Male,300.0,40.0,,Furniture,5.0
14,Bob,25.0,Other,300.0,10.0,2023-01-01,Electronics,5.0
16,Bob,30.0,Female,100.0,30.0,,Grocery,20.0
17,David,35.0,Female,400.0,20.0,,Furniture,20.0
18,Eve,25.0,Male,300.0,40.0,2023-01-01,Electronics,0.0
20,David,20.0,Other,400.0,20.0,,Grocery,5.0
22,Eve,25.0,Male,300.0,30.0,2023-01-01,Grocery,5.0
23,David,25.0,Other,100.0,40.0,,Electronics,0.0
26,Charlie,25.0,Male,300.0,20.0,,Clothing,5.0
27,Charlie,30.0,Female,200.0,40.0,,Furniture,20.0
29,David,25.0,Other,300.0,30.0,2023-01-01,Grocery,10.0
30,David,30.0,Female,200.0,20.0,,Furniture,0.0
31,Charlie,25.0,Other,200.0,40.0,,Electronics,15.0
32,David,35.0,Other,400.0,30.0,,Furniture,5.0
33,David,35.0,Male,200.0,30.0,,Clothing,20.0
34,Alice,35.0,Male,200.0,20.0,2023-01-01,Electronics,0.0
36,Eve,20.0,Male,200.0,20.0,2023-01-01,Electronics,0.0
37,Charlie,30.0,Male,200.0,10.0,,Electronics,15.0
38,Eve,30.0,Male,300.0,10.0,,Clothing,10.0
39,Alice,35.0,Female,400.0,30.0,,Grocery,15.0
40,Bob,20.0,Male,100.0,20.0,,Electronics,10.0
41,David,35.0,Other,400.0,10.0,2023-01-01,Grocery,10.0
42,Alice,20.0,Female,200.0,20.0,,Furniture,5.0
43,David,35.0,Other,300.0,10.0,,Clothing,15.0
45,Bob,25.0,Male,200.0,20.0,,Electronics,20.0
46,Alice,25.0,Other,200.0,10.0,,Grocery,15.0
47,Bob,35.0,Other,200.0,20.0,,Electronics,5.0
48,Eve,30.0,Other,300.0,20.0,2023-01-01,Clothing,20.0
50,David,25.0,Male,400.0,30.0,,Furniture,20.0
