ID,Name,Age,Gender,Sales,Profit,Date,Category,Discount
1,David,25,Female,100,30,01/01/2023,Grocery,20
2,Eve,,Female,,10,01/01/2023,Clothing,20
3,Charlie,35,Other,,30,01/01/2023,Electronics,10
4,Eve,35,nan,,10,InvalidDate,Clothing,5
5,Eve,,Male,100,10,15/02/2023,Electronics,10
6,Bob,,nan,300,30,15/02/2023,Furniture,N/A
7,Charlie,,nan,100,10,InvalidDate,Grocery,5
8,Charlie,30,Other,300,20,nan,Electronics,20
9,Charlie,35,nan,200,40,nan,nan,15
10,Eve,35,nan,200,20,nan,Furniture,N/A
11,David,30,Male,100,40,InvalidDate,Electronics,10
12,Charlie,,nan,300,20,15/02/2023,nan,20
13,Eve,25,Male,300,40,15/02/2023,Furniture,5
14,Bob,,Other,300,10,01/01/2023,Electronics,5
15,David,,Male,200,30,15/02/2023,nan,15
16,Bob,30,Female,100,30,nan,Grocery,20
17,David,35,Female,400,,nan,Furniture,20
18,Eve,,Male,300,40,01/01/2023,Electronics,N/A
19,Alice,35,Female,300,,01/01/2023,nan,N/A
20,David,20,Other,400,,15/02/2023,Grocery,5
21,Bob,35,Female,100,40,01/01/2023,nan,10
22,Eve,25,Male,300,30,01/01/2023,Grocery,5
23,David,25,Other,100,40,InvalidDate,Electronics,N/A
24,Alice,,Female,300,10,15/02/2023,nan,N/A
25,Alice,35,Other,,,nan,nan,N/A
26,Charlie,,Male,300,,InvalidDate,Clothing,5
27,Charlie,30,Female,,40,nan,Furniture,20
28,Bob,25,Other,100,,01/01/2023,nan,10
29,David,,Other,300,30,01/01/2023,Grocery,10
30,David,30,Female,200,,nan,Furniture,N/A
31,Charlie,,Other,200,40,InvalidDate,Electronics,15
32,David,35,Other,400,30,InvalidDate,Furniture,5
33,David,35,Male,200,30,InvalidDate,Clothing,20
34,Alice,35,Male,nan,nan,01/01/2023,Electronics,N/A
35,Charlie,35,Male,200,40,15/02/2023,nan,15
36,Eve,20,Male,200,,01/01/2023,Electronics,N/A
37,Charlie,30,Male,200,10,nan,Electronics,15
38,Eve,30,Male,300,10,InvalidDate,Clothing,10
39,Alice,35,Female,400,30,15/02/2023,Grocery,15
40,Bob,20,Male,100,,InvalidDate,Electronics,10
41,David,35,Other,400,10,01/01/2023,Grocery,10
42,Alice,20,Female,,20,15/02/2023,Furniture,5
43,David,35,Other,300,10,15/02/2023,Clothing,15
44,Bob,25,Male,300,,01/01/2023,nan,20
45,Bob,25,Male,200,,InvalidDate,Electronics,20
46,Alice,,Other,200,10,InvalidDate,Grocery,15
47,Bob,35,Other,,,InvalidDate,Electronics,5
48,Eve,30,Other,300,,01/01/2023,Clothing,20
49,Bob,,nan,100,20,nan,nan,N/A
50,David,25,nan,400,30,nan,Furniture,20
51,David,35,nan,300,,InvalidDate,Furniture,5
52,David,,nan,100,40,15/02/2023,Grocery,10
53,David,35,Female,100,30,nan,Furniture,10
54,Eve,25,Male,400,30,InvalidDate,Grocery,10
55,Charlie,,Other,100,40,nan,nan,5
56,Alice,25,Male,,10,InvalidDate,Electronics,10
57,David,20,Other,100,20,nan,Clothing,10
58,Bob,25,Male,,,nan,nan,5
59,David,35,Female,100,10,15/02/2023,nan,N/A
60,Bob,30,nan,200,40,15/02/2023,Furniture,20
61,Bob,25,Male,100,20,nan,Furniture,5
62,David,30,Other,,20,InvalidDate,Clothing,5
63,Eve,20,Male,100,20,15/02/2023,Electronics,15
64,Bob,,Female,100,40,01/01/2023,nan,10
65,Bob,,Female,100,10,15/02/2023,Furniture,N/A
66,David,30,Male,,,nan,nan,15
67,Bob,,nan,100,20,nan,Electronics,N/A
68,Bob,25,Other,400,20,01/01/2023,Grocery,10
69,David,30,Female,400,10,15/02/2023,Electronics,10
70,David,35,Female,,20,nan,nan,10
71,Alice,25,Male,200,20,01/01/2023,nan,20
72,Eve,25,Female,400,40,01/01/2023,Clothing,N/A
73,Eve,25,Female,300,30,InvalidDate,nan,N/A
74,Bob,35,Other,400,10,15/02/2023,Furniture,15
75,Eve,20,nan,300,10,15/02/2023,Clothing,5
76,Bob,,Other,,10,15/02/2023,nan,10
77,Alice,30,nan,200,40,nan,Electronics,10
78,David,20,Other,300,40,01/01/2023,nan,15
79,David,30,Male,300,,InvalidDate,Electronics,N/A
80,David,,Female,400,40,15/02/2023,Electronics,20
81,Eve,35,nan,300,10,InvalidDate,nan,N/A
82,Alice,25,Male,,,InvalidDate,Electronics,20
83,Eve,25,Female,,30,01/01/2023,Grocery,20
84,Eve,35,Female,,20,15/02/2023,Clothing,N/A
85,Alice,20,Female,400,20,InvalidDate,nan,10
86,Alice,20,Other,200,,15/02/2023,Grocery,20
87,Alice,30,Male,400,30,15/02/2023,Electronics,15
88,Alice,35,Male,,20,15/02/2023,Electronics,15
89,David,20,Female,400,,InvalidDate,Clothing,20
90,Charlie,35,nan,,40,01/01/2023,Grocery,10
91,Charlie,,Male,100,10,01/01/2023,Grocery,20
92,Alice,25,Other,100,30,InvalidDate,nan,15
93,Charlie,25,nan,300,20,nan,Electronics,15
94,Charlie,25,nan,200,10,15/02/2023,Furniture,N/A
